"rank","role","category","risk_score","risk_label","url","tasks_likely_to_change","safer_skills"
"1","Customer service agent","Operations","76","High change","https://willaitakemyjob.co.uk/will-ai-take-customer-service-agent-jobs/","FAQ answers; Ticket routing; Chat responses; Call summaries; Knowledge-base suggestions","Move into escalation; Learn support operations; Own help content; Build retention skills; Handle sensitive cases"
"2","Administrative assistant","Administration","74","High change","https://willaitakemyjob.co.uk/will-ai-take-admin-assistant-jobs/","Meeting notes; Scheduling; Document formatting; Inbox drafting; Travel plans","Become an operations coordinator; Own sensitive workflows; Use automation tools; Improve stakeholder handling; Manage processes"
"3","Copywriter","Creative","72","High change","https://willaitakemyjob.co.uk/will-ai-take-copywriter-jobs/","First drafts; Email variants; SEO outlines; Ad copy tests; Product descriptions","Own customer research; Learn analytics; Specialise by industry; Build outcome-led proof; Become an editor-strategist"
"4","Bookkeeper","Finance","70","High change","https://willaitakemyjob.co.uk/will-ai-take-bookkeeper-jobs/","Bank feeds; Invoice coding; Receipt capture; Reconciliations; Basic reports","Own exception review; Move into advisory; Master accounting software; Package monthly support; Learn tax basics"
"5","Translator","Language","68","Medium change","https://willaitakemyjob.co.uk/will-ai-take-translator-jobs/","First-pass translation; Glossary suggestions; Subtitles; Simple localisation; Terminology checks","Specialise deeply; Edit AI output; Own transcreation; Serve regulated sectors; Build quality assurance"
"6","Graphic designer","Creative","67","Medium change","https://willaitakemyjob.co.uk/will-ai-take-graphic-design-jobs/","Concept drafts; Social variants; Background removal; Simple layouts; Image generation","Sell brand systems; Learn AI image workflows; Move into art direction; Build campaign case studies; Package retainers"
"7","Paralegal","Legal","63","Medium change","https://willaitakemyjob.co.uk/will-ai-take-paralegal-jobs/","Document review; Legal research; Bundle preparation; Chronologies; Template letters","Master legal tech; Move into complex matters; Improve evidence handling; Build client skills; Learn compliance workflows"
"8","Recruiter","People","62","Medium change","https://willaitakemyjob.co.uk/will-ai-take-recruiter-jobs/","Candidate search; CV screening; Outreach drafts; Interview summaries; Pipeline reports","Build niche networks; Advise hiring managers; Use AI sourcing well; Improve candidate experience; Own salary intelligence"
"9","Retail assistant","Retail","61","Medium change","https://willaitakemyjob.co.uk/will-ai-take-retail-assistant-jobs/","Stock answers; Checkout automation; Product FAQs; Shift notes; Inventory prompts","Move into specialist sales; Improve product expertise; Use clienteling tools; Own merchandising; Develop supervisor skills"
"10","Accountant","Finance","58","Medium change","https://willaitakemyjob.co.uk/will-ai-take-accounting-jobs/","Invoice matching; Data entry; Variance notes; Basic reports; Reconciliation checks","Move into advisory; Use AI reconciliations; Specialise in tax; Improve client communication; Own controls"
"11","Journalist","Media","57","Medium change","https://willaitakemyjob.co.uk/will-ai-take-journalist-jobs/","News briefs; Transcript summaries; Headline variants; Background research; Social snippets","Build sources; Do original reporting; Use AI for research; Own a beat; Create audience trust"
"12","Data analyst","Data","55","Medium change","https://willaitakemyjob.co.uk/will-ai-take-data-analyst-jobs/","SQL drafts; Chart suggestions; Dashboard notes; Anomaly summaries; Cleaning scripts","Own metric definitions; Learn causal thinking; Improve data engineering; Tell business stories; Partner with decision makers"
"13","Marketing manager","Marketing","52","Medium change","https://willaitakemyjob.co.uk/will-ai-take-marketing-manager-jobs/","Campaign drafts; Content calendars; Audience research; Performance summaries; Ad variations","Own growth metrics; Learn automation stacks; Build channel expertise; Run better experiments; Connect brand to revenue"
"14","UX designer","Technology","51","Medium change","https://willaitakemyjob.co.uk/will-ai-take-ux-designer-jobs/","Wireframe drafts; Persona drafts; Research summaries; Prototype copy; Usability notes","Own discovery; Facilitate decisions; Learn accessibility; Use AI prototyping; Measure outcomes"
"15","Warehouse operative","Logistics","49","Medium change","https://willaitakemyjob.co.uk/will-ai-take-warehouse-operative-jobs/","Picking routes; Stock counts; Shift planning; Exception flags; Inventory reports","Learn automation systems; Move into supervision; Own safety; Operate specialist equipment; Improve process knowledge"
"16","HR manager","People","46","Medium change","https://willaitakemyjob.co.uk/will-ai-take-hr-manager-jobs/","Job descriptions; Screening notes; Policy drafts; Survey summaries; Training outlines","Lead AI policy; Handle complex ER; Improve workforce planning; Use people analytics; Own culture change"
"17","Project manager","Operations","45","Medium change","https://willaitakemyjob.co.uk/will-ai-take-project-manager-jobs/","Status reports; Meeting notes; Risk logs; Timeline drafts; Dependency summaries","Own stakeholder trust; Use AI for admin; Get technical context; Improve decision discipline; Resolve conflict"
"18","Software developer","Technology","44","Lower change","https://willaitakemyjob.co.uk/will-ai-take-software-developer-jobs/","Boilerplate code; Unit test drafts; Documentation; Small refactors; Code search","Own architecture; Use AI for delivery; Learn security; Talk to users; Ship measurable outcomes"
"19","Sales representative","Sales","41","Lower change","https://willaitakemyjob.co.uk/will-ai-take-sales-representative-jobs/","Lead research; Email sequences; Call notes; CRM updates; Proposal drafts","Improve discovery; Use AI for prep; Build vertical expertise; Negotiate better; Own accounts"
"20","Solicitor","Legal","39","Lower change","https://willaitakemyjob.co.uk/will-ai-take-solicitor-jobs/","Contract summaries; Case research; Clause comparison; Draft letters; Disclosure review","Use AI review tools; Specialise deeply; Improve client advisory; Stay close to compliance; Own risk decisions"
"21","Financial adviser","Finance","36","Lower change","https://willaitakemyjob.co.uk/will-ai-take-financial-adviser-jobs/","Portfolio summaries; Scenario drafts; Client notes; Research; Compliance checklists","Build client trust; Use planning tools; Specialise by client type; Improve behavioural coaching; Stay compliant"
"22","Architect","Built Environment","34","Lower change","https://willaitakemyjob.co.uk/will-ai-take-architect-jobs/","Concept options; Visualisations; Code checks; Material research; Meeting notes","Lead client strategy; Master BIM plus AI; Own planning context; Improve sustainability expertise; Coordinate teams"
"23","Cybersecurity analyst","Technology","32","Lower change","https://willaitakemyjob.co.uk/will-ai-take-cybersecurity-analyst-jobs/","Alert triage; Report drafts; Log summaries; Phishing analysis; Playbook suggestions","Learn AI security; Improve incident response; Own risk communication; Automate detection; Stay hands-on"
"24","Teacher","Education","28","Lower change","https://willaitakemyjob.co.uk/will-ai-take-teacher-jobs/","Lesson drafts; Quiz generation; Feedback templates; Admin summaries; Resource adaptation","Teach AI literacy; Strengthen pastoral skills; Use AI for planning; Focus on assessment; Lead curriculum change"
"25","Doctor","Healthcare","24","Lower change","https://willaitakemyjob.co.uk/will-ai-take-doctor-jobs/","Clinical notes; Differential prompts; Referral letters; Literature summaries; Admin coding","Use AI safely; Specialise clinically; Improve communication; Lead governance; Audit AI outputs"
"26","Chef","Hospitality","22","Lower change","https://willaitakemyjob.co.uk/will-ai-take-chef-jobs/","Menu ideas; Costing; Stock plans; Supplier comparison; Allergen notes","Own kitchen leadership; Use AI for margins; Build a signature style; Improve operations; Create content"
"27","Nurse","Healthcare","18","Lower change","https://willaitakemyjob.co.uk/will-ai-take-nurse-jobs/","Shift notes; Triage prompts; Care plan drafts; Scheduling admin; Patient education drafts","Learn digital health tools; Develop specialist practice; Strengthen patient education; Lead workflow improvement; Mentor others"
"28","Mechanic","Trades","17","Lower change","https://willaitakemyjob.co.uk/will-ai-take-mechanic-jobs/","Fault suggestions; Service write-ups; Parts lookup; Customer messages; Maintenance reminders","Specialise in EVs; Use diagnostic tools; Build trust locally; Offer maintenance plans; Train on software systems"
"29","Plumber","Trades","13","Lower change","https://willaitakemyjob.co.uk/will-ai-take-plumber-jobs/","Quote drafts; Booking messages; Fault checklists; Invoice descriptions; Customer FAQs","Build local reputation; Use AI for admin; Specialise in heat pumps; Improve maintenance plans; Train junior staff"
"30","Electrician","Trades","12","Lower change","https://willaitakemyjob.co.uk/will-ai-take-electrician-jobs/","Quote drafts; Fault checklists; Stock planning; Customer messages; Invoice notes","Offer smart-home installs; Use AI for admin; Build local SEO; Train apprentices; Specialise in renewables"
